version,ultima_actualizacion,codigo,familia,validacion,mensaje
0.3.0,02/12/2024,FEL_RCP320,FEL_RCP,"Está presente en el XML un “Tipo de Frase” Requerido u Opcional para el “Tipo de DTE y el “Código de Escenario” para ese “Tipo de Frase” no existe en el catálogo. Si el tipo de DTE incluye la frase tipo 1, 2 o 3, deberá validarse que el tipo de frase y escenario correspondan a la información de las frases permitidas del contribuyente según el Minirtu. **condición pecuario Si el tipo de DTE es FEPE, se incluye la frase tipo 12 escenario 1, la afiliación es pecuario; o Si el tipo de DTE es FEPE, se incluye la frase tipo 12 escenario 2, la afiliación es primario. Si se incluye la casilla de emisiontemporal=si y no se incluye la frase escenario 14; o no se incluye la casilla de emisontemporal=si y se incluye la frase tipo 9 escenario 14.",El código de escenario no existe para el Tipo de Frase: xxx
0.3.0,02/12/2024,FEL_RCP321,FEL_RCP,"Está presente en el XML un Tipo de Frase Requerio u Opcional para el Tipo de DTE, el Código de Escenario para ese Tipo de Frase existe en el catálogo pero no corresponde a la obligación de la afiliación del impuesto registrada para el NIT del emisor.",El código de escenario para el Tipo de Frase xxx no corresponde a la afiliación del NIT del emisor.
0.3.0,02/12/2024,FEL_RCP322,FEL_RCP,"El Tipo de DTE contiene uno de los textos: FACT, FCAM, el NIT del Emisor se encuentra afiliado como Agente de Retención del IVA y el Tipo de Frase Retención del IVA no está presente en el XML.",El Tipo de Frase Retención del IVA debe estar presente para ese NIT Emisor.
0.3.0,02/12/2024,FEL_RCP323,FEL_RCP,"El “Tipo de DTE” contiene uno de los textos: “FACT”, “FCAM”, “FACP” “NDEB”, “NCRE”; se incluye la casilla “Exportación” y el “Tipo de Frase” Exento o no afecto al IVA no está presente en el XML. ",El Tipo de Frase Exento o no Afecto al IVA debe estar presente para una exportación.
0.3.0,02/12/2024,FEL_RCP324,FEL_RCP,"El Tipo de DTE contiene uno de los textos: FACT, FCAM, se incluye la casilla Exportación, la casilla Tipo de Frase Exento o no afecto al IVA está presente en el XML y el Código de Escenario para ese tipo de frase es diferente de: 1.",El Código de Escenario xxx para el Tipo de Frase Exento o no Afecto al IVA no corresponde para una exportación.
0.3.0,02/12/2024,FEL_RCP325,FEL_RCP,"El Tipo de DTE contiene uno de los textos: FACT, FCAM, no se incluye la casilla Exportación, uno o más de los ítems del DTE no incluyen IVA y el Tipo de Frase Exento o no afecto al IVA no está presente en el XML.",El Tipo de Frase Exento o no Afecto al IVA debe estar presente cuando el DTE contiene Items sin IVA.
0.3.0,02/12/2024,FEL_RCP326,FEL_RCP,"El Tipo de DTE contiene uno de los textos: FACT, FCAM, no se incluye la casilla Exportación, uno o más de los ítems del DTE no incluyen IVA, la casilla Tipo de Frase Exento o no afecto al IVA está presente en el XML y el Código de Escenario para ese tipo de frase es diferente de: 1, 2, 3, 7, 9, 10, 11, 12.",El Código de Escenario xxx para el Tipo de Frase Exento o no Afecto no corresponde para el tipo de DTE.
0.3.0,02/12/2024,FEL_RCP327,FEL_RCP,"El Tipo de DTE contiene el texto: RDON, la casilla Tipo de Frase Exento o no afecto al IVA está presente en el XML y el Código de Escenario para ese tipo de frase es diferente de: 4.",El Código de Escenario xxx para el Tipo de Frase Exento o no Afecto no corresponde para el tipo de DTE.
0.3.0,02/12/2024,FEL_RCP328,FEL_RCP,"El Tipo de DTE contiene el texto: RECI, la casilla Tipo de Frase Exento o no afecto al IVA está presente en el XML y el Código de Escenario para ese tipo de frase es diferente de: 2, 5, 6, 8, 16, 20, 24",El Código de Escenario xxx para el Tipo de Frase Exento o no Afecto no corresponde para el tipo de DTE.
0.3.0,02/12/2024,FEL_RCP329,FEL_RCP,La casilla no está presente en el XML.,Monto Gravable debe estar presente para IVA.
